n|argūméntum, argūméntī|n|proof, evidence, argument|argumentation, argumentative
n|aúctor, auctṓris|m|increaser; author, originator|authority, authorize
n|benefícium, benefíciī|n|benefit, kindness; favor|beneficence, beneficial, beneficiary; cf. faciō
n|família, famíliae|f|household, family|familial, familiar, familiarity
n|Graécia, Graéciae|f|Greece
n|iū́dex, iū́dicis|m|judge, juror|judge, judgment; cf iūdicium and iūs
n|iūdícium, iūdíciī|n|judgment, decision, opinion; trial|adjudge, adjudicate, judicial, judicious, injudicious, misjudge, prejudge, prejudice
n|scélus, scéleris|n|evil deed, crime, sin, wickedness
adj|quī? quae? quod?|what? which? what kind of?, sometimes with exclamatory force, what (a)! what sort of!|quo jure
adj|cértus, cérta, cértum|definite, sure, certain, reliable|ascertain, certify, certificate
adj|grávis, gráve|heavy, weighty; serious, important; severe, grievous|aggravate, grief, grievance, grieve, grave, gravity
adj|immortā́lis, immortā́le|not subject to death, immortal|cf mors/mortis
conj|at|but; but, mind you; but, you say; typically a stronger adversative than sed||conjunction
conj|nísi|if ... not, unless; except|nisi prius|conjunction
prep + acc|cóntrā|against|contrary, counter, encounter, country, pro and con, "contra-" in compounds|preposition
adv|iam|now, already, soon||adverb
v|dēléctō, dēlectā́re, dēlectā́vī, dēlectā́tum|to delight, charm, please|delectable, delectation
v|lī́berō, līberā́re, līberā́vī, līberā́tum|to free, liberate|liberate, liberation, liberal, deliver; cf līber, lībertās
v|párō, parā́re, parā́vī, parā́tum|to prepare, provide; get, obtain|apparatus, compare, parachute, parapet, parasol, pare, parry, repair, reparation, separate, several
