n|remíssiō, remissiṓnis|f|letting go, release; relaxation|remiss, remission,; from re + mittō
n|vōx, vṓcis|f|voice, word|vocal, vocalic, vocalize, vociferous, vowel; vox angelica, vox humana, voxpopuli; cf. vocō
adj|advérsus, advérsa, advérsum|opposite, adverse|adversary, adversative, adversity; cf. vertō
adj|tā́lis, tā́le|such, of such a sort|cf. quālis
adj|quā́lis, quā́le|of what sort? what kind of?|cf. tālis, tāle
interj|vae often takes the {{c2::|dat or acc}} case(s) and means {{c3::alas, woe to||interjection
v|árbitror, arbitrā́rī, arbitrā́tus sum|to judge, think|arbiter, aribtress, arbitration, arbitrator, arbitrary, arbitrarily
v|cṓnor, cōnā́rī, cōnā́tus sum|to try, attempt|conation, conative
v|crḗscō, crḗscere, crḗvī, crḗtum|to increase|crescent, crescendo, concrete, decrease, excrescence, increment, accretion, accrue, crew, recruit
v|ēgrédior, ḗgredī, ēgréssus sum|to go out|egress; cf. aggression, congress, digress, ingredient, ingress, progress, regress, retrogress, transgress
v|fáteor, fatḗrī, fássus sum|to confess, admit|confession, profess, profession, professor; cf. fābula, fāma, fātum
v|hórtor, hortā́rī, hortā́tus sum|to encourage, urge|hortatory, exhortation
v|lóquor, lóquī, locū́tus sum|to say, speak, tell|loquacious, curcumlocution, colloquial, elocution, eloquent, obloquy, soliloquy, ventriloquist
v|mṓlior, mōlī́rī, mōlī́tus sum|to work at, build, undertake, plan|demolish, demolition; cf mōlēs,
n|mṓlēs, mṓlēs|f|large mass; massive structure|mole (nautical)
v|mórior, mórī, mórtuus sum, fut. act. partic. moritū́rus|to die|moribund, mortuary; cf. mors, mortālis, mortuus, immortālis
v|nā́scor, nā́scī, nā́tus sum|to be born; spring forth, arise|agnate, cognate, innate, nascent, natal, nation, nature, naive; cf. nāta, nātūra
v|pátior, pátī, pássus sum|to suffer, endure; permit|passion, passive, compassion, compatible, impassioned, dispassionate; cf. patientia
v|prōfíciō, prōfícere, prōfḗcī, prōfectū́rum|to make headway, gain results|profit, proficient
v|proficī́scor, proficī́scī, proféctus sum|to set out, start|cf. prōficiō
adj|rū́sticus, rū́stica, rū́sticum|rustic, rural
v|rū́sticor, rūsticā́rī, rūsticā́tus sum|to live in the country|rusticate, rustic, rural, cf. rūsticus
v|sédeō, sedḗre, sḗdī, séssum|to sit|sedan, sedate, sedentary, sediment, sessile, session, assess, assiduous, president siege, subsidy
v|séquor, séquī, secū́tus sum|to follow|consequent, consecutive, obsequious, presecute, sequence, sequel, subsequent; cf. secundus
v|spéctō, spectā́re, spectā́vī, spectā́tum|to look at, see|spectator, spectacle, speculate, aspect, circumspect, inspect; cf. speculum
v|ū́tor, ū́tī, ū́sus sum takes the {{c2::ablative of special deponent}} case(s) and means|to use; enjoy, experience|abuse, disuse, peruse usual, usurp, usury, utensil, utilize, utility, utilitarian; cf. ūtilis
