v|fruor, fruī, fructus sum takes the ablative of special deponent|enjoy; engage in|
v|fungor, fungī, fūnctus sum takes the ablative of special deponent|perform, execute, administer, discharge, observe; finish, complete, end|
v|potior, potīrī, potītus sum takes the ablative or genitive of special deponent|obtain, acquire; grasp; attain; seize, capture; control|
v|vēscor, vēscī, (no 3rd prin part) may but doesn't always take the ablative of special deponent|eat, feed upon; to make use of, enjoy, use|
