1	2	andus, -anda, -andum	andus, -anda, -andum	all	all	future	participle	passive	23
1	2	ans gen. -antis	āns, gen. -antis	all	all	present	participle	active	23
all	4	urus, -ura, -urum	ūrus, -ūra, -ūrum	all	all	future	participle	active	23
all	4	us, -a, -um	us, -a, -um	all	all	perfect	participle	passive	23
2/3	2	endus, -enda, -endum	endus, -enda, -endum	all	all	future	participle	passive	23
2/3	2	ens gen. -entis	ēns, gen. -entis	all	all	present	participle	active	23
4/3io	2	iendus, -ienda, -iendum	iendus, -ienda, -iendum	all	all	future	participle	passive	23
4/3io	2	iens gen. -ientis	iēns, gen. -ientis	all	all	present	participle	active	23
