n|cupī́dō, cupī́dinis|f|desire, passion|cupidity, Cupid; cf. cupiō, cupiditās
n|lḗctor, lēctṓris|m|reader|lector; cf.legō, lectern, lecture
n|lḗctrīx, lēctrī́cis|f|reader|lector; cf. lēctor, legō, lectern, lecture
n|vínculum, vínculī|n|bond, chain, fetter|vinculum; cf. vinciō
adv|cōtī́diē|daily, every day|quot + diēs; cotidian|adv
adv|fortásse|perhaps|cf. fortūna|adv
v|accḗdō, accḗdere, accéssī, accéssum|to come (to), approach|ad + cēdō; accede, access, accessible, accession, accessory
v|cárpō, cárpere, cárpsī, cárptum|to harvest, pluck; seize|carp at excerpt, carpet, scarce
v|cṓgō, cṓgere, coḗgī, coā́ctum|to drive or bring together, force, compel|cum + agō, cogent, coaction, coactive, coagulate; cf. cōgitō
v|contémnō, contémnere, contémpsī, contémptum|to despise, scorn|contemn, contempt, contemptible, contemptuous
v|contúndō, contúndere, cóntudī, contū́sum|to beat, crush, bruise, destroy|contuse, contusion
v|obtúndō, obtúndere, óbtundī, obtū́nsum|to beat, blunt|obtuse
v|cū́rō, cūrā́re, cūrā́vī, cūrā́tum|to care for, attend to; heal, cure; take care|cure, curator, procure, proctor, accurate; cf. cūra
v|dēcérnō, dēcérnere, dēcrḗvī, dēcrḗtum|to decide, settle, decree|decretal, decretory; cf. cernō
v|éxigō, exígere, exḗgī, exā́ctum|to drive out, force out, exact; drive through, complete, perfect|ex + agō; exactitude, exigent, exigency
v|fī́ō, fíerī, fáctus sum|to occur, happen; become; be made, be done|fiat
v|obléctō, oblectā́re, oblectā́vī, oblectā́tum|to please, amuse, delight; pass time pleasantly|oblectation; cf. dēlectō, dēlectātiō
v|récreō, recreā́re, recreā́vī, recreā́tum|to restore, revive; refresh, cheer|re + creō; recreate, recreation
v|requī́rō, requī́rere, requīsī́vī, requīsī́tum|to seek, ask for; miss, need, require|re + quaerō; requisite, requisition, prerequisite, request
v|serḗnō, serēnā́re, serēnā́vī, serēnā́tum|to make clear, brighten; cheer up, soothe|serene, serenity, serenade
