ablCaseUse|Place From Which|1) with a verb of active motion, and 2) nearly always with ā/ab, ex, or dē|away from, out of, down from
ablCaseUse|Separation|1) some person or thing is separate from another, without active motion, and 2) sometimes without preposition, particularly with verbs with meanings "to free," "to lack," and "to deprive."|"from," "away from," or no preposition, depending on context and Latin preposition, if any
n|coniūrā́tī, coniūrātṓrum|m pl|conspirators|conjure, conjurer; cf. coniūrātiō
n|coniūrā́tiō, coniūrātiṓnis|f|conspiracy|conjuration
n|córnū, córnūs|n|horn|corn -- not the grain, but a thick growth of skin; cornea, corner, cornet, cornucopia, unicorn
n|frū́ctus, frū́ctūs|m|fruit; profit, benefit, enjoyment|fructify, fructose, frugal
n|génū, génūs|n|knee|genuflect, genuflection, genual; "knee" is cognate
n|mánus, mánūs|f|hand; handwriting; band|manual, manufacture, manumit, manuscript, emancipate, manacle, manage, manicle, maneuver
n|métus, métūs|m|fear, dread, anxiety|meticulous; cf metuō, metuere, metuī
n|mōns, móntis|m|mountain|mount, mountainous, Montana, amount, catamount, paramount, surmount, tantamount
n|senā́tus, senā́tūs|m|senate|senator, senatorial; related to senex, as the senate was a council of "elders"
n|sḗnsus, sḗnsūs|m|feeling, sense|sensation, sensory, sensual, sensuous, senseless, insensate, sensible, sensitive; cf sentiō
n|sérvitūs, servitū́tis|f|servitude, slavery|service; cf servō
n|spī́ritus, spī́ritūs|m|breath, breathing; spirit, soul|spiritual, spiritous, conspire, inspire, expire, respiratory, transpire; cf spīrāre
v|spī́rō, spīrā́re, spīrā́vī, spīrā́tum|to breathe
n|vérsus, vérsūs|m|line of verse|versify, versification
adj|commū́nis, commū́ne|common, general, of/for the community|communal, commune, communicate, communicable, communion, communism, community, excommunicate
adj|déxter, déxtra, déxtrum|right, right-hand|dexterity, dextrous, ambidextrous
adj|siníster, sinístra, sinístrum|lef, left-hand; harmful, ill-omened|sinister, sinistral, sinistrodextral
v|cáreō, carḗre, cáruī, caritū́rum + abl. of separation|to be without, be deprived of, want, lack; be free from|caret but not carat
v|dēféndō, dēféndere, dēféndī, dēfḗnsum|to ward off; defend, protect|defendant, defense, defensible, defensive, fence, fencing, fend, fender, offend
v|discḗdō, discḗdere, discéssī, discéssum|to go away, depart|proceed, secede; do not confuse with discō
v|ṓdī, ōdísse, ṓsum|defective verb having chiefly perf. system forms with pres. force, "to hate"|odium, odious
v|prohíbeō, prohibḗre, prohíbuī, prohíbitum|to keep (back), prevent, hinder, restrain, prohibit|prohibitive, prohibition, prohibitory; cf. habeō
v|prōnū́ntiō, prōnūntiā́re, prōnūntiā́vī, prōnūntiā́tum|to proclaim, announce; declaim; pronounce|pronouncement, pronunciation; cf nūntius
n|nū́ntius, nū́ntiī|messenger
