n|arx, árcis|f|citadel, stronghold|possibly related to arca, box, chest, from which we get "ark"
n|dux, dúcis|m|leader, guide; commander, general|duke, ducal, ducat, duchess, duchy, doge; cf. dūcō
n|équus, équī|m|horse|equestrian, equine; cf. equa, mare
n|hásta, hástae|f|spear|hastate
n|ī́nsula, ī́nsulae|f|island|insular, insulate, isolate, peninsula
n|lī́tus, lī́toris|n|shore, coast|littoral, sublittoral
n|mī́les, mī́litis|m|soldier|military, militaristic, militate, militant, militia
n|ōrā́tor, ōrātṓris|m|orator, speaker|oratory, oratorio; cf ōs and ōrāre
n|sacérdōs, sacerdṓtis|m|priest|sacerdotal; cf. sacer, sacred
indefinite pronoun|áliquis, áliquid, gen. alicuíus, dat. alicui, etc.; cf decl. of quis, quid; nom. and acc. n. pl., áliqua|someone, somebody, something|indefinitePronoun
indefinite pronoun|quísquis,quídquid (quis repeated; cases other than nom. rare)|whoever, whatever||indefinitePronoun
adj|magnánimus, magnánima, magnánimum|great-hearted, brave, magnanimous|magnanimity
adv|úmquam|in questions or negative clauses, ever, at any time|numquam = ne + umquam|adverb
v|ḗducō, ēducā́re, ēducā́vī, ēducā́tum|to bring up, educate|education, educator, educable; do not confuse with ēdūcere, to lead out
v|gaúdeō, gaudḗre, gāvī́sus sum|to be glad, rejoice|gaudy, gaudeamus; cf. gaudium, joy
v|osténdō, osténdere, osténdī, osténtum|to exhibit, show, display|ostentation, ostentatious, ostensible; cf tendere, to stretch, extend
v|pétō, pétere, petī́vī, petī́tum|to seek, aim at, beg, beseech|appetite, compete, competent, impetuous, petition, petulant, repeat; cf perpetuus
v|prémō, prémere, préssī, préssum|to press; press hard, pursue; spelled -primō, -primere in compounds|compress, depress, express, impress, imprint, print, repress, reprimand, suppress
v|ópprimō, opprímere, oppréssī, oppréssum|to suppress, overwhelm, overpower, check|oppress, oppression, oppressive, oppressor
v|vértō, vértere, vértī, vérsum|to turn; change|adverse, advertise, averse, convert, controversy, diverse, divorce, invert, pervert, revert, subvert; cf versus
v|āvértō, āvértere, āvértī, āvérsum|to turn away, avert|adverse, advertise, averse, convert, controversy, diverse, divorce, invert, pervert, revert, subvert; cf versus
v|revértō, revértere, revértī, revérsum|to turn back|adverse, advertise, averse, convert, controversy, diverse, divorce, invert, pervert, revert, subvert; cf versus
