n|aétās, aetā́tis|f|period of life, life, age, an age, time|eternal, eternity, sempiternal
n|audī́tor, audītṓris|m|hearer, listener, member of an audience|auditor, auditory, auditorium; cf audiō
n|clēméntia, clēméntiae|f|mildness, gentleness, mercy|clement, clemency, inclement, Clementine
n|mēns, méntis|f|mind, thought, intention|mental, mentality, mention, demented; "mind" is cognate
n|sátura, sáturae|f|satire|satirist, satirical, satirize
adj|ā́cer, ā́cris, ā́cre|sharp, keen, eager; severe, fierce|acrid, acrimony, acrimonious, eager, vinegar
adj|brévis, bréve|short, small, brief|brevity, breviary, abbreviate, abridge
adj|céler, céleris, célere|swift, quick, rapid|celerity, accelerate, acceleration, decelerate
adj|diffícilis, diffícile|hard, difficult, troublesome|difficulty
adj|dúlcis, dúlce|sweet; pleasant, agreeable|dulcify, dulcet, dulcimer
adj|fácilis, fácile|easy, agreeable|facile, facility, facilitate; cf. faciō
adj|fórtis, fórte|strong, brave|fort, forte, fortify, fortitude, force, comfort
adj|íngēns, gen. inéntis|huge
adj|iūcúndus, iūcúnda, iūcúndum|pleasant, delightful, agreeable, pleasing|jocund
adj|lóngus, lónga, lóngum|long|longitude, longevity, elongate, oblong, prolong; Eng. "long" is cognate
adj|ómnis, ómne|every, all|omnibus, bus, omnipresent, omnipotent, omniscient, omnivorous
adj|pótēns, gen. poténtis|pres. partic. of possum as an adj., able, powerful, mighty, strong|potent, impotent, omnipotent, potentate, potential
adj and noun|sénex, gen. sénis|old, aged; old man|senate, sentator, senescent, senile, senior, seniority, sir, sire; cf senectūs|adjective noun
adv|quam|how||adverb
v|régō, régere, rḗxī, rḗctum|to rule, guide, direct|regent, regime, regiment, regular, regulate, correct, direction, rectitude; cf. rēx, rēgīna
