caseUse|subjunctive|relative clause of characteristic|1) introduced by relative pronoun 2) subordinate verb is subjunctive 3) antecedant is often general, indefinite, interrogative, or negative|1) "would" sometimes in subordinate clause 2) "the sort of" or "the kind of" sometimes in main clause, to make clear that antecedant is indefinite
caseUse|dative|reference or interest|noun is 1) to whom or what a statement refers, 2) from whose perspective it is true, or 3) to whom it is of special interest, and 4) occassionally functions as an especially emotional possessive|"to" or "for" sometimes, but generally a more complex phrase depending on context
caseUse|ablative|supine|1) 4th declension neuter ablative noun with same stem as a perfect passive participle, 2) with an adjective in the neuter ablative, 3) to indicate in what respect a particular quality is applicable|with infinitive or "in respect to" + present active participle
caseUse|accusative|supine|1) 4th declension neuter accusative noun with same stem as a perfect passive participle, 2) used with a verb of active motion|"to" or "in order to"
n|betúlla, betúllae|f|birch tree
n|fī́cus, fī́cī|f|fig tree
n|ábiēs, abiḗtis|f|fir tree
n|quércus, quércūs|f|oak tree
n|árbor, árboris|f|tree|arbor, Arbor Day, arboretum, arboriculture
n|dígnitās, dignitā́tis|f|merit, prestige, dignity|indignity, deign, dignify, indignant, indignation, cf. dignus
n|dólor, dolṓris|m|pain, grief|doleful, dolorous, condolences; cf. doleō
n|ódium, ódiī|n|hatred|odium, odious, annoy, ennui, noisom; cf. ōdī
n|ópus, óperis|n|a work, task; deed, accomplishment|opus, opera, operate, operative, inoperative, co-operate, hors d'oeuvre, maneuver, manure
n|ōrā́tiō, ōrātiṓnis|f|speech|oration, oratory; cf. ōrō, ōrātor
n|pēs, pédis|m|lower leg, foot|pedal, pedate, pedestal, pedestrian, pedicel, pedigree, piedmont, pawn, peon, pioneer, biped, quadruped, impede, impediment, expedite, expedition, expeditious
v|sérō, sérere, sḗvī, sátum|to sow, to plant|serial, series, assert, desert, exert, insert
n|sátor, satṓris|m|sower, planter; begetter, father; founder|serial, series, assert, desert, exert, insert, cf. serere
adj|fī́rmus, fī́rma, fī́rmum|firm, strong; reliable|firmament, affirm, affirmation, affirmative, confirm, confirmation, farm, farmer
adj|īnfī́rmus, īnfī́rma, īnfī́rmum|not strong, weak, feeble|infirm, infirmary, infirmity
adj|mīrā́bilis, mīrā́bile|amazing, wondrous, remarkable|mirabilia, admirable, marvel, miracle, mirador, mirage, mirror; cf. mīror
adj|prī́stinus, prī́stina, prī́stinum|ancient; former, previous|pristine
adj|sublī́mis, sublī́me|elevated, lofty; heroic, noble|sublimate, sublime, sublimity; not subliminal
conj|étsī (et + sī)|even if, although||conjunction
prep + acc|érgā|toward||preposition
impersonal verb|libet, libēre, libuit|it pleases, it is pleasing|impersonalVerb
adv|libénter|with pleasure, gladly|ad lib|adverb
v|impédiō, impedī́re, impedī́vī, impedī́tum|to impede, hinder, prevent|impediment, impedance, impeach; cf. pēs
v|métuō, metúere, métuī|to fear, dread; be afraid for + dative|meticulous; cf. metus
n|querḗla, querḗlae|f|complaint|quarrel
v|quéror, quérī, quéstus sum|to complain, lament|querulous; cf querēla
v|recognṓscō, recognṓscere, recognṓvī, recógnitum|to recognize, recollect|recognition, recognizance, reconnaisance, reconnoitre; cf. nōscō, cognōscō
v|péndō, péndere, pepéndī, pḗnsum|to hang, to suspend; to weigh; to pay|pendant, pendulum
v|suspéndō, suspéndere, suspéndī, suspḗnsum|to hang up, suspend; interrupt|suspense, suspension; cf pendō, pendere
v|vḗndō, vḗndere, vḗndidī, vḗnditum|to sell|vend, vendor
