ablCaseUse|comparison|A comparative degree adjective in the nominative or accusative followed by the second noun being compared in the ablative, without preposition (quam missing)|"-er than" or "more ___ than"
n|cḗna, cḗnae|f|dinner|cenacle; cf. cēnō
n|fórum, fórī|n|marketplace, forum|forensic
n|lēx, lḗgis|f|law, statute; cf. iūs|legal, legislator, legitimate, loyal, colleague, college, privilege
n|lī́men, lī́minis|n|threshold|liminality, subliminal, eliminate, preliminary
n|lūx, lū́cis|f|light|lucid, elucidate, translucent, illustrate, illuminate
n|mḗnsa, mḗnsae|f|table; dining; dish, course; with secunda, dessert|constellation Mensa
n|nox, nóctis|f|night|nocturnal, nocturne, equinox, noctiluca, noctuid
n|sómnus, sómnī|m|sleep|somnambulate, somnambulist, somniferous, somniloquist, somnolent, insomnia, Sominex
indefinitePronoun|quī́dam, quaédam, quíddam|a certain one or thing, someone, something, declined as quī, quae, quod||pronoun
adj|quī́dam, quaédam, quóddam|a certain, some, declined as quī, quae, quod
adj|pudī́cus, pudī́ca, pudī́cum|modest, chaste|impudent, pudency, pudendum; cf. pudīcitia
n|pudīcítia, pudīcítiae|f|modesty, chastity|impudent, pudency, pudendum; cf. pudīcus
adj|supérbus, supérba, supérbum|arrogant, overbearing, haughty, proud|superb; cf. superāre
adj|trī́stis, trī́ste|sad, sorrowful; joyless, grim, severe|tristful; cf. trīstitia
n|trīstitia, trīstitiae|sorrow|tristful; cf. trīstis, trīste
adj|túrpis, túrpe| ugly; shameful, base, disgraceful|terpitude, terpitudinous
adj|urbā́nus, urbā́na, urbā́num|of the city, urban; urbane, elegant|urbanity, urbanization, suburban; cf. urbs
prep + abl|prae|in front of, before. Frequent as a prefix, either with same meaning or simple intensification of the suffix.|precede, prepare, preposition
adj|praeclārus, praeclāra, praeclārum|especially famous, remarkable|cf. prae
v|praepōnō, praepōnere, praeposuī, praepositum|to put before, prefer|cf. prae and pōnere
adv|tántum|only|tantamount
v|invī́tō, invītā́re, invītā́vī, invītā́tum|to entertain, invite, summon|invitation, invitational, vie
