n|língua, línguae|f|tongue; language|linguist, linguistics, bilingual, lingo, linguine
n|férus, férī|m|beast|
adj|férōx, gen. ferṓcis|fierce, savage|ferocious, verocity; cf. ferus, -ī
adj|fidḗlis, fidḗle|faithful, loyal|fidelity, infidelity, infidel; cf. fidēs
adj|géminus, gémina, géminum|twin|geminate, gemination, Gemini
adj|sápiēns, gen. sapiéntis|wise, judicious, philosopher (substantively)|homo sapiens, sapience, insipience, insipid, verbum sapienti, savant, sage; cf. sapientia
adj|últimus, última, últimum|farthest, extreme; last, final|ultimate, ultimatum, penultimate, antepenult
adv|déhinc|then, next||adverb
adv|hīc|here|cf hic, haec, hoc|adverb
defective verb|ā́it, áiunt|he says, they say, assert|commonly used in connection with proverbs and anecdotes|adage|defectiveVerb
v|crḗdō, crḗdere, crḗdidī, crḗditum|to believe, trust|credence, credentials, credible, incredible, credulity, credulous, creed, credo, credit, creditable, accreditation
v|iáceō, iacḗre, iácuī|to lie; lie prostrate; lie dead|adjacent, adjacency, interjacent, subjacent, gist, joist; do not confuse with iaciō, iacere
v|négō, negā́re, negā́vī, negā́tum|to deny, say that ... not|negate, negative, abnegate, renegade, renege, denial
v|nésciō, nescī́re, nescī́vī, nescī́tum|to not know, be ignorant|nice, nescient; cf. sciō
v|nū́ntiō, nūntiā́re, nūntiā́vī, nūntiā́tum|to announce, report, relate|denounce, enunciate, pronounce, renounce, nuncio; cf. prōnūntiō, nūntius
v|patefáciō, patefácere, patefḗcī, patefáctum|to make open, open; disclose, expose|patent; cf. patēre
v|pútō, putā́re, putā́vī, putā́tum|to reckon, suppose, judge, think, imagine|compute, count, account, dispute, impute, putative, repute
v|suscípiō, suscípere, suscḗpī, suscéptum (sub + capiō)|to undertake|susceptible
