Adj ending/declension: - 3 . {{c1::-: M, F, or N acc sg, N nom sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: a 1/2 . {{c1::a: F nom sg, a̅: F abl sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: ae 1/2 . {{c1::ae: F gen or dat sg; F nom pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: am 1/2 . {{c1::am: F acc sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: arum 1/2 . {{c1::a̅rum: F gen pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: as 1/2 . {{c1::a̅s: F acc pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: e 1/2 . {{c1::e: M voc sg, (nouns and) adj w/nom sg in -us only::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: e 3 . {{c1::e: M, F, N abl sg, present active participles only, esp. when not strictly attributative adjectives::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: em 3 . {{c1::em: M, F acc sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: er 1/2 . {{c1::er: M nom sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: es 3 . {{c1::e̅s: M, F nom or acc pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: i 1/2 . {{c1::i̅: M nom or gen sg, N gen sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: i 3 . {{c1::i̅: M, F, N abl sg, and for present active participles, esp when strictly attributative adjective::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: ia 3 . {{c1::ia: N nom or acc pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: ibus 3 . {{c1::ibus: M, F, N dat or abl pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: ie 1/2 . {{c1::ie: M voc sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	Summa̅rium Fo̅rma̅rum	
Adj ending/declension: is 1/2 . {{c1::i̅s: M, F, N dat or abl pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	2	
Adj ending/declension: is 3 . {{c1::is: M, F, N gen sg; M, F i̅s: acc pl (Republican and Golden)::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: ium 3 . {{c1::ium: M, F, N gen pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: o 1/2 . {{c1::o̅: M, N dat or abl sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: orum 1/2 . {{c1::o̅rum: M, N gen pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: os 1/2 . {{c1::o̅s: M acc pl::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
Adj ending/declension: s 3 . {{c1::s: M, *F*: nom sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	16	
Adj ending/declension: um 1/2 . {{c1::M acc sg; N nom or acc sg::gender(s) case(s) number(s) for macron(s)}}	Wheelock	3	
